Seed,Gen,MaxFitness,MinFitness,AvgFitness
1,0,0.893336,0.0193947,0.0708761
1,1,0.89815,0.018543,0.315575
1,2,0.90629,0.0354244,0.766522
1,3,0.89815,0.0413918,0.874702
1,4,0.956206,0.704126,0.888934
1,5,0.894534,0.323562,0.872671
1,6,0.956206,0.337541,0.878771
1,7,0.899442,0.842744,0.892566
1,8,0.903016,0.107989,0.877506
1,9,0.904241,0.842744,0.893661
1,10,0.908926,0.893336,0.894302
1,11,0.929195,0.107989,0.879093
1,12,0.941708,0.107989,0.847329
1,13,0.957579,0.265322,0.882851
1,14,0.970968,0.281579,0.889538
1,15,0.970968,0.126349,0.882922
1,16,0.969556,0.123077,0.894507
1,17,0.970968,0.880669,0.909788
1,18,0.970968,0.281579,0.898619
1,19,0.970968,0.123943,0.895656
1,20,0.969556,0.803729,0.913066
1,21,0.959785,0.0384599,0.886139
1,22,0.959785,0.0376763,0.898408
1,23,0.959785,0.813074,0.915495
1,24,0.957579,0.893336,0.919629
1,25,0.957579,0.894534,0.929943
1,26,0.957579,0.894534,0.927318
1,27,0.957579,0.0413943,0.883396
1,28,0.961261,0.451365,0.914829
1,29,0.967211,0.0413943,0.904182
1,30,0.967211,0.894534,0.9321
1,31,0.967211,0.894534,0.934866
1,32,0.970968,0.790451,0.940908
1,33,0.967211,0.338536,0.927141
1,34,0.967211,0.790451,0.937037
1,35,0.973994,0.813074,0.925066
1,36,0.973994,0.0375721,0.889541
1,37,0.973994,0.519669,0.937223
1,38,0.973994,0.767165,0.949286
1,39,0.965717,0.894534,0.948465
1,40,0.967211,0.804699,0.951682
1,41,0.967211,0.880669,0.956234
1,42,0.957579,0.121014,0.922753
1,43,0.959785,0.349418,0.936246
1,44,0.959785,0.0388762,0.894807
1,45,0.970968,0.349418,0.912117
1,46,0.970968,0.957579,0.959036
1,47,0.970968,0.125687,0.94174
1,48,0.973994,0.121014,0.934225
1,49,0.961261,0.119533,0.902241
1,50,0.961261,0.0388762,0.872629
1,51,0.970968,0.248985,0.920373
1,52,0.961261,0.813074,0.939702
1,53,0.961261,0.125687,0.927432
1,54,0.961261,0.125687,0.891991
1,55,0.961261,0.0371092,0.913736
1,56,0.961261,0.11959,0.913724
1,57,0.961261,0.0410571,0.909706
1,58,0.973994,0.60757,0.917147
1,59,0.977804,0.804699,0.944823
1,60,0.969462,0.0376763,0.924504
1,61,0.969462,0.915499,0.959191
1,62,0.972479,0.0385691,0.924492
1,63,0.969462,0.0388822,0.930218
1,64,0.969462,0.038575,0.940714
1,65,0.969462,0.902935,0.961108
1,66,0.969462,0.344792,0.942611
1,67,0.969462,0.957579,0.965249
1,68,0.974754,0.675904,0.958103
1,69,0.982415,0.125687,0.945955
1,70,0.974754,0.612332,0.950208
1,71,0.97704,0.0371213,0.925365
1,72,0.972195,0.64255,0.957615
1,73,0.972195,0.124287,0.945551
1,74,0.974754,0.124287,0.937351
1,75,0.974754,0.675904,0.952712
1,76,0.982415,0.0388955,0.854678
1,77,0.982415,0.0388822,0.890505
1,78,0.969462,0.129167,0.891985
1,79,0.969462,0.604924,0.942995
1,80,0.966464,0.0379716,0.925244
1,81,0.969462,0.328396,0.927837
1,82,0.961261,0.627707,0.947379
1,83,0.969462,0.0371213,0.938298
1,84,0.969462,0.0379716,0.926695
1,85,0.969462,0.637959,0.951901
1,86,0.969462,0.637959,0.951631
1,87,0.959049,0.0382692,0.933286
1,88,0.959049,0.900739,0.957841
1,89,0.959049,0.0379716,0.923686
1,90,0.966464,0.64255,0.950031
1,91,0.969462,0.0388786,0.887083
1,92,0.972479,0.0379716,0.862967
1,93,0.972479,0.320236,0.930805
1,94,0.969462,0.0382692,0.926623
1,95,0.969462,0.735565,0.943345
