Seed,Gen,MaxFitness,MinFitness,AvgFitness,MaxObjVal,MinObjVal,AvgObjVal
1,0,1.35135,0.806452,1.08499,-13,12,-3.1
1,1,1.51515,0.862069,1.1411,-17,12,-5.54
1,2,1.6129,0.909091,1.25456,-19,5,-9.54
1,3,1.6129,1.08696,1.26023,-19,5,-9.74
1,4,1.5625,1.06383,1.35419,-18,-3,-12.64
1,5,1.6129,1.04167,1.32033,-19,-2,-11.74
1,6,1.6129,1.19048,1.36864,-19,-8,-13.3
1,7,1.6129,1.04167,1.33032,-19,-2,-11.98
1,8,1.6129,1,1.31198,-19,0,-11.2
1,9,1.66667,1.04167,1.35108,-20,-2,-12.7
1,10,1.72414,1.21951,1.43517,-21,-9,-14.9
1,11,1.72414,1.38889,1.5438,-21,-14,-17.38
1,12,1.72414,1.25,1.54303,-21,-10,-17.42
1,13,1.72414,1.21951,1.60102,-21,-9,-18.56
1,14,1.72414,1.42857,1.62057,-21,-9,-19.06
1,15,1.72414,1.38889,1.61107,-21,-14,-18.82
1,16,1.72414,1.35135,1.6025,-21,-13,-18.58
1,17,1.78571,1.31579,1.57196,-22,-12,-17.98
1,18,1.72414,1.28205,1.59244,-21,-11,-18.38
1,19,1.72414,1.47059,1.59318,-21,-11,-18.42
1,20,1.72414,1.47059,1.54158,-21,-11,-17.4
1,21,1.85185,1.47059,1.65754,-23,-16,-19.68
1,22,1.78571,1.47059,1.70692,-22,-16,-20.66
1,23,1.72414,1.42857,1.58638,-21,-15,-18.28
1,24,1.72414,1.42857,1.57509,-21,-15,-18.06
1,25,1.72414,1.47059,1.64876,-21,-16,-19.52
1,26,1.72414,1.47059,1.67804,-21,-16,-20.1
1,27,1.72414,1.47059,1.71907,-21,-16,-20.9
1,28,1.72414,1.6129,1.72076,-21,-19,-20.94
1,29,1.72414,1.47059,1.71454,-21,-16,-20.82
1,30,1.72414,1.47059,1.66797,-21,-16,-19.9
1,31,1.72414,1.5625,1.71746,-21,-18,-20.88
1,32,1.85185,1.6129,1.72332,-23,-19,-20.98
1,33,1.72414,1.66667,1.72299,-21,-20,-20.98
1,34,1.78571,1.5625,1.72099,-22,-18,-20.94
1,35,1.78571,1.47059,1.71084,-22,-16,-20.74
1,36,1.72414,1.66667,1.72299,-21,-20,-20.98
1,37,1.72414,1.47059,1.71677,-21,-16,-20.86
1,38,1.72414,1.47059,1.68568,-21,-16,-20.28
1,39,1.72414,1.42857,1.68144,-21,-15,-20.24
1,40,1.78571,1.42857,1.65,-22,-15,-19.64
1,41,1.66667,1.51515,1.66364,-20,-17,-19.94
1,42,1.72414,1.5625,1.66581,-21,-18,-19.98
1,43,1.72414,1.42857,1.65787,-21,-15,-19.82
1,44,1.72414,1.66667,1.66782,-21,-15,-20.02
1,45,1.66667,1.42857,1.66083,-20,-15,-19.88
1,46,1.72414,1.6129,1.66674,-21,-19,-20
1,47,1.66667,1.42857,1.6578,-20,-15,-19.82
1,48,1.66667,1.42857,1.65584,-20,-15,-19.78
1,49,1.66667,1.42857,1.65982,-20,-15,-19.86
1,50,1.72414,1.42857,1.65882,-21,-15,-19.84
1,51,1.72414,1.66667,1.67701,-21,-15,-20.18
1,52,1.72414,1.6129,1.67264,-21,-19,-20.1
1,53,1.78571,1.66667,1.6702,-22,-19,-20.06
1,54,1.66667,1.42857,1.66083,-20,-15,-19.88
1,55,1.72414,1.42857,1.66305,-21,-15,-19.92
1,56,1.72414,1.6129,1.66674,-21,-19,-20
1,57,1.66667,1.42857,1.65714,-20,-15,-19.8
1,58,1.72414,1.6129,1.66567,-21,-19,-19.98
1,59,1.66667,1.6129,1.65054,-20,-19,-19.7
1,60,1.66667,1.42857,1.6619,-20,-15,-19.9
1,61,1.66667,1.5625,1.66243,-20,-18,-19.92
1,62,1.72414,1.42857,1.65983,-21,-15,-19.86
1,63,1.66667,1.42857,1.65653,-20,-15,-19.8
1,64,1.66667,1.6129,1.66559,-20,-19,-19.98
1,65,1.66667,1.42857,1.66083,-20,-15,-19.88
1,66,1.72414,1.5625,1.66688,-21,-18,-20
1,67,1.78571,1.42857,1.66213,-22,-15,-19.9
1,68,1.66667,1.42857,1.65262,-20,-15,-19.72
1,69,1.72414,1.42857,1.6609,-21,-15,-19.88
1,70,1.66667,1.66667,1.66667,-20,-15,-20
1,71,1.72414,1.6129,1.66674,-21,-19,-20
1,72,1.66667,1.42857,1.66083,-20,-15,-19.88
1,73,1.72414,1.6129,1.65499,-21,-19,-19.78
1,74,1.72414,1.6129,1.66674,-21,-19,-20
1,75,1.72414,1.42857,1.66809,-21,-15,-20
1,76,1.72414,1.5625,1.67177,-21,-15,-20.06
1,77,1.72414,1.42857,1.65375,-21,-15,-19.7
