Seed,Gen,MaxFitness,MinFitness,AvgFitness
1,0,0.207646,0.166667,0.167487
1,1,0.24314,0.166667,0.170814
1,2,0.207646,0.166667,0.170931
1,3,0.219681,0.16667,0.174651
1,4,0.230939,0.166689,0.182317
1,5,0.272674,0.171046,0.20688
1,6,0.272674,0.207646,0.211592
1,7,0.272674,0.207646,0.221963
1,8,0.285783,0.20941,0.243092
1,9,0.725165,0.272674,0.295455
1,10,0.725165,0.285783,0.405046
1,11,0.762453,0.505401,0.62233
1,12,0.762453,0.725165,0.729651
1,13,0.944725,0.725165,0.753421
1,14,0.944725,0.762453,0.769743
1,15,0.944725,0.762453,0.806198
1,16,0.998795,0.944725,0.945807
1,17,0.999088,0.944725,0.949057
1,18,0.999949,0.944725,0.976181
1,19,0.999949,0.999088,0.999243
1,20,0.999949,0.999104,0.999929
1,21,0.99996,0.999949,0.99995
1,22,0.99996,0.999949,0.99995
1,23,0.99996,0.999949,0.999955
1,24,0.99996,0.99996,0.999959
1,25,0.99996,0.99996,0.999959
1,26,0.999964,0.99996,0.999959
1,27,0.999964,0.99996,0.99996
1,28,0.999996,0.99996,0.999964
1,29,1,0.999964,0.999967
1,30,1,0.999964,0.999979
1,31,1,1,1
1,32,1,1,1
1,33,1,1,1
1,34,1,1,1
1,35,1,1,1
1,36,1,1,1
1,37,1,1,1
1,38,1,1,1
1,39,1,1,1
1,40,1,1,1
1,41,1,1,1
1,42,1,1,1
1,43,1,1,1
1,44,1,1,1
1,45,1,1,1
1,46,1,1,1
1,47,1,1,1
1,48,1,1,1
1,49,1,1,1
1,50,1,1,1
1,51,1,1,1
1,52,1,1,1
1,53,1,1,1
1,54,1,1,1
1,55,1,1,1
1,56,1,1,1
1,57,1,1,1
1,58,1,1,1
1,59,1,1,1
1,60,1,1,1
1,61,1,1,1
1,62,1,1,1
1,63,1,1,1
1,64,1,1,1
1,65,1,1,1
1,66,1,1,1
1,67,1,1,1
1,68,1,1,1
1,69,1,1,1
1,70,1,1,1
1,71,1,1,1
1,72,1,1,1
1,73,1,1,1
1,74,1,1,1
1,75,1,1,1
1,76,1,1,1
1,77,1,1,1
1,78,1,1,1
1,79,1,1,1
1,80,1,1,1
1,81,1,1,1
1,82,1,1,1
1,83,1,1,1
1,84,1,1,1
1,85,1,1,1
1,86,1,1,1
1,87,1,1,1
1,88,1,1,1
1,89,1,1,1
1,90,1,1,1
1,91,1,1,1
1,92,1,1,1
1,93,1,1,1
1,94,1,1,1
1,95,1,1,1
1,96,1,1,1
1,97,1,1,1
1,98,1,1,1
1,99,1,1,1
1,100,1,1,1
2,0,0.169885,0.166667,0.166733
2,1,0.169885,0.166667,0.166798
2,2,0.255087,0.166667,0.168918
2,3,0.255087,0.166682,0.170923
2,4,0.913953,0.166741,0.205604
2,5,0.913953,0.169885,0.430003
2,6,0.924772,0.913953,0.914441
2,7,0.933849,0.913953,0.916461
2,8,0.933849,0.922599,0.925709
2,9,0.993074,0.930796,0.932367
2,10,0.996646,0.930796,0.933485
2,11,0.996646,0.933849,0.93917
2,12,0.996707,0.933849,0.962359
2,13,0.997473,0.996646,0.996683
2,14,0.997473,0.996662,0.996814
2,15,0.997478,0.996707,0.997101
2,16,0.997619,0.997473,0.997475
2,17,0.997619,0.997473,0.997481
2,18,0.997763,0.997478,0.997515
2,19,0.997763,0.997619,0.997628
2,20,0.997894,0.997624,0.997665
2,21,0.997894,0.997763,0.997782
2,22,0.997904,0.997763,0.997822
2,23,0.997904,0.997894,0.997895
2,24,0.997904,0.997894,0.997897
2,25,0.997937,0.997903,0.997904
2,26,0.997937,0.997904,0.99791
2,27,0.997937,0.997921,0.997936
2,28,0.997937,0.997937,0.997937
2,29,0.997937,0.997937,0.997937
2,30,0.997937,0.997937,0.997937
2,31,0.997937,0.997937,0.997937
2,32,0.997937,0.997937,0.997937
2,33,0.997937,0.997937,0.997937
2,34,0.997937,0.997937,0.997937
2,35,0.997937,0.997937,0.997937
2,36,0.997937,0.997937,0.997937
2,37,0.997937,0.997937,0.997937
2,38,0.997937,0.997937,0.997937
2,39,0.997937,0.997937,0.997937
2,40,0.997937,0.997937,0.997937
2,41,0.997937,0.997937,0.997937
2,42,0.997937,0.997937,0.997937
2,43,0.997937,0.997937,0.997937
2,44,0.997937,0.997937,0.997937
2,45,0.997937,0.997937,0.997937
2,46,0.997937,0.997937,0.997937
2,47,0.997937,0.997937,0.997937
2,48,0.997937,0.997937,0.997937
2,49,0.997937,0.997937,0.997937
2,50,0.997937,0.997937,0.997937
2,51,0.997937,0.997937,0.997937
2,52,0.997937,0.997937,0.997937
2,53,0.997937,0.997937,0.997937
2,54,0.997937,0.997937,0.997937
2,55,0.997937,0.997937,0.997937
2,56,0.997937,0.997937,0.997937
2,57,0.997937,0.997937,0.997937
2,58,0.997937,0.997937,0.997937
2,59,0.997937,0.997937,0.997937
2,60,0.997937,0.997937,0.997937
